Rainfall,Max Temperature,Min Temperature,Maximum Humidity,Min Humidity,Wind Direction,CC,EVP,Wind speed,Solar Radiation,date
0.0,17.0,6.8,92.0,65.0,125.0,2.0,0.5,1.0,13.475000000000001,1/1
0.0,18.0,6.8,97.0,64.0,125.0,2.0,0.0,1.2,13.475000000000001,1/2
0.0,17.5,6.8,98.0,74.0,130.0,2.0,0.0,0.8,13.475000000000001,1/3
0.0,19.2,10.4,97.0,50.0,360.0,2.0,0.8,1.2,13.475000000000001,1/4
0.0,20.3,10.4,95.0,58.0,270.0,2.0,1.2,1.2,13.475000000000001,1/5
0.0,21.0,7.8,95.0,53.0,70.0,2.0,1.2,1.5,13.475000000000001,1/6
0.0,21.3,7.3,97.0,53.0,280.0,2.0,1.4,2.1,13.475000000000001,1/7
0.0,19.7,7.3,97.0,42.0,280.0,2.0,1.4,1.8,13.475000000000001,1/8
0.0,22.2,7.3,92.0,45.0,270.0,2.0,1.2,1.2,13.475000000000001,1/9
0.0,23.2,7.3,95.0,49.0,170.0,2.0,1.1,1.0,13.475000000000001,1/10
0.0,20.6,7.3,80.0,60.0,170.0,2.0,1.3,1.5,13.475000000000001,1/11
0.0,20.1,7.3,98.0,55.0,170.0,2.0,1.3,1.6,13.475000000000001,1/12
9.1,20.0,7.1,98.0,50.0,135.0,2.0,1.0,1.9,13.475000000000001,1/13
0.0,22.8,6.9,92.0,52.0,115.0,2.0,0.9,1.8,13.475000000000001,1/14
0.0,22.0,7.9,98.0,49.0,157.0,2.0,1.1,2.1,13.475000000000001,1/15
0.0,23.0,6.3,98.0,47.0,250.0,2.0,1.0,1.2,13.475000000000001,1/16
0.0,21.4,6.4,92.0,63.0,200.0,2.0,1.2,1.9,13.475000000000001,1/17
0.0,15.6,6.4,95.0,95.0,200.0,2.0,1.0,1.8,13.475000000000001,1/18
0.0,22.5,6.4,98.0,62.0,150.0,2.0,0.5,2.1,13.475000000000001,1/19
0.0,23.0,6.5,97.0,61.0,230.0,2.0,0.8,2.2,13.475000000000001,1/20
0.0,24.0,6.3,92.0,62.0,200.0,2.0,0.7,2.3,13.475000000000001,1/21
0.0,24.0,6.8,98.0,60.0,200.0,2.0,0.9,2.5,13.475000000000001,1/22
0.0,24.5,6.9,95.0,45.0,360.0,2.0,1.4,2.8,13.475000000000001,1/23
0.0,23.2,8.2,81.0,45.0,280.0,2.0,2.0,2.9,13.475000000000001,1/24
